Ano;Fecha;Punto de muestreo;Rio;OD (%);pH;DQO (mg/L);CE (microS/cm);SST (mg/L)
2016;Diciembre 5 de 2016;Salida ( Puente La Viga, Via Canas Gordas);Pance;93.37;6.9;12;35.2;11
2016;Diciembre 5 de 2016;Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31);Lili;77.52;6.54;12;189.1;11.2
2016;Diciembre 6 de 2016;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Cali;106.09;7.96;12;146.9;11.57
2016;Diciembre 5 de 2016;Entrada al perimetro urbano (Colegio Ideas);Canaveralejo;65.39;7.37;12;202.8;11.57
2015;Septiembre 8 de 2015;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);MeleNaNez;92.97;7.7;16.89;166.8;11.6
2016;Agosto 4 de 2016;Intermedio (Frente a la Clinica Los Remedios);Cali;86.69;7.91;12;260;12
2012;NaN;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Lili;60.99;5.7;212.7;339;12
2018;Septiembre 26 de 2018;Entrada al perimetro urbano (Colegio Ideas);Canaveralejo;60.88;7.43;12;230;12
2014;Junio 23 del 2014;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Lili;3.94;3.95;19.88;357;12.21
2014;Agosto 13 del 2014;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Aguacatal;7.38;7.5;25.49;569;12.33
2014;Junio 24 del 2014;Intermedio  (Plaza de Toros);Canaveralejo;2.51;7.14;26.33;236;12.33
2016;Agosto 4 de 2016;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Cali;79.52;7.62;14.31;286;13
2016;Diciembre 5 de 2016;Intermedio  (Plaza de Toros);Canaveralejo;54.02;7.43;29.66;261;13
2017;Abril 25 de 2017;Entrada al perimetro urbano (Colegio Ideas);Canaveralejo;50.74;7.87;12;184;13
2018;Junio 22 de 2018;Salida (Despues del puente via panamericana)**;Lili;68.95;6.72;30.24;204;13.25
2018;Marzo 22 de 2018;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);MeleNaNez;67.43;7.36;27.04;180;13.4
2013;NaN;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A));Cali;6.08;7.63;21.08;307;13.46
2018;Septiembre 25 de 2018;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A));Cali;106.92;8.48;12;389;14
2013;NaN;Entrada al perimetro urbano (Puente Azul);Aguacatal;6.74;8.2;30;260;14.14
2018;Marzo 16 de 2018;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A));Cali;122.27;8.3;12;245;14.2
2017;Abril 4 de 2017;Entrada (Al lado de la ecas la riverita - inicio del perimetro urbano)**;Lili;71.86;6.71;12;257;14.3
2016;Julio 29 de 2016;Entrada al perimetro urbano (Puente Azul);Aguacatal;77.35;7.88;18.1;300;15.25
2017;Diciembre 30 de 2017;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Cali;58.13;7.2;12;186.9;15.4
2013;NaN;Salida(El Ancla, antes de desembocar el Rio Cali);Aguacatal;4.64;7.89;68.48;401;15.4
2015;Septiembre 11 de 2015;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Cali;99.54;7.43;24.32;472;16
2015;Septiembre 11 de 2015;Intermedio (Frente a la Clinica Los Remedios);Cali;88.07;8.46;16;472;16
2018;Marzo 16 de 2018;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Cali;48.36;7.61;18.15;265;16.2
2013;NaN;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Cali;7.17;7.62;25.1;222;16.22
2018;Septiembre 28 de 2018;Salida(El Ancla, antes de desembocar el Rio Cali);Aguacatal;82.35;7.78;24.02;470;16.83
2013;NaN;Intermedio (Frente a la Clinica Los Remedios);Cali;7.32;7.72;18.07;229;17.55
2017;Mayo 30 de 2017;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Cali;59.39;7.17;12;196;17.6
2018;Septiembre 25 de 2018;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Cali;107.96;8;20.89;408;18.3
2016;Diciembre 6 de 2016;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);MeleNaNez;78.67;7.28;12;110.4;18.75
2016;Diciembre 6 de 2016;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);MeleNaNez;80.6;7.52;16.27;121.5;20
2014;Junio 29 del 2014;Intermedio (Frente a la Clinica Los Remedios);Cali;8.68;7.99;20.43;296;20.41
2016;Diciembre 6 de 2016;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Cali;98.18;7.58;12;146.2;20.5
2013;NaN;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Cali;7.03;7.9;24.1;250;20.5
2013;NaN;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Aguacatal;4.99;7.93;78.72;402;20.66
2016;Diciembre 6 de 2016;Salida (El Ancla, antes de desembocar el Rio Cali);Aguacatal;85.63;8.12;16.32;352;20.8
2016;Diciembre 6 de 2016;Entrada al perimetro urbano (Puente Azul);Aguacatal;97.19;8.55;16.31;266;21
2016;Diciembre 6 de 2016;Intermedio (Frente a la Clinica Los Remedios);Cali;104.68;7.92;12;148.9;21.4
2016;Diciembre 6 de 2016;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);MeleNaNez;94.63;7.64;12;74.9;22
2014;Junio 29 del 2014;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Cali;5.21;7.21;87.9;374;22.29
2017;Diciembre 30 de 2017;Intermedio (Frente a la Clinica Los Remedios);Cali;55.87;7.21;12;211.3;22.5
2017;Diciembre 30 de 2017;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Cali;50.95;7.5;12;214;23
2013;NaN;Intermedio (Pasoancho, Cra 80 Con Cll13);MeleNaNez;7.31;6.89;11;104.4;23.13
2016;Diciembre 6 de 2016;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Aguacatal;74.66;7.79;19.88;634;23.46
2016;Diciembre 6 de 2016;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Cali;96.67;6.77;16.53;150.8;23.48
2015;Septiembre 11 de 2015;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Cali;78.32;8.54;18;420;24
2017;Diciembre 30 de 2017;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A));Cali;53;7.72;12;217.7;24.2
2012;NaN;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Lili;66.69;6.49;116.4;225;24.4
2017;Mayo 30 de 2017;Intermedio (Frente a la Clinica Los Remedios);Cali;54.16;7.38;12;193;24.5
2017;Mayo 30 de 2017;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Cali;49.3;7.56;12;189;25
2017;Diciembre 30 de 2017;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Cali;44.87;7.48;30.14;241.2;25
2016;Julio 29 de 2016;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Aguacatal;70.52;7.77;19.3;414;25.5
2018;Septiembre 7 de 2018;Entrada (Entrada  Perimetro Urbano, finca el forraje, via a la Buitrera.)**;Lili;39.43;6.24;16.42;529;25.5
2018;Septiembre 25 de 2018;Intermedio (Frente a la Clinica Los Remedios);Cali;98.98;8.16;12;359;26
2013;NaN;Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31);Lili;6.24;5.81;6.02;347;26
2016;Diciembre 6 de 2016;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A));Cali;93.83;7.39;12;156.8;26.5
2016;Diciembre 6 de 2016;Intermedio (Pasoancho, Cra 80 Con Cll13);MeleNaNez;78.73;7.49;12;76.5;26.5
2017;Mayo 30 de 2017;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A));Cali;47.74;7.88;12;163;26.5
2012;NaN;Salida(El Ancla, antes de desembocar el Rio Cali);Aguacatal;124.15;7.38;28.8;412;27
2015;Septiembre 8 de 2015;Intermedio (Pasoancho, Cra 80 Con Cll13);MeleNaNez;64.89;7.78;8.48;158.2;27.6
2015;Septiembre 11 de 2015;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A));Cali;78.03;8.52;23;435;28
2016;Diciembre 6 de 2016;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Cali;60.64;7.47;78.6;255;28
2013;NaN;Intermedio  (Plaza de Toros);Canaveralejo;2.26;7.72;65.92;262;28.6
2015;Septiembre 8 de 2015;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);MeleNaNez;56.72;7.62;9.74;171.2;30
2014;Junio 29 del 2014;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Cali;10.77;8.64;32.73;167.3;30
2016;Agosto 4 de 2016;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Cali;96.79;6.77;19.4;261;32.5
2013;NaN;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Lili;6.46;3.76;7.03;433;32.91
2016;Agosto 4 de 2016;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A));Cali;89.79;7.37;18.01;276;35.5
2015;Septiembre 8 de 2015;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);MeleNaNez;0;7.23;115;533;37
2018;Septiembre 11 de 2018;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);MeleNaNez;29.69;7.2;51.13;334;38.12
2017;Mayo 30 de 2017;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Cali;44.87;7.48;27.8;216;43.5
2014;Junio  28 del 2014;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);MeleNaNez;NaN;7.06;124.21;360;45
2016;Agosto 4 de 2016;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Cali;31.7;7.45;177.11;438;45
2015;Septiembre 11 de 2015;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Cali;62.14;6.58;207;650;48
2012;NaN;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Canaveralejo;17.42;6.31;88.8;426;50.5
2018;Junio 25 de 2018;Salida(El Ancla, antes de desembocar el Rio Cali);Aguacatal;64.6;7.47;35.42;446;51
2016;Diciembre 5 de 2016;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Lili;56.26;6.28;13.7;338;51
2018;Junio 25 de 2018;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Aguacatal;83.34;7.21;35.54;509;57
2016;Julio 29 de 2016;Salida (El Ancla, antes de desembocar el Rio Cali);Aguacatal;60.11;7.87;69;803;68.6
2018;Junio 22 de 2018;Entrada (Entrada  Perimetro Urbano, finca el forraje, via a la Buitrera.)**;Lili;70.92;6.36;21.79;333;72.86
2018;Septiembre 25 de 2018;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Cali;73.89;7.07;156.08;383;85
2016;Diciembre 5 de 2016;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Canaveralejo;62.89;7.37;76.47;371;85
2017;Septiembre 06 de 2017;Intermedio  (Plaza de Toros);Canaveralejo;48.95;7.82;27.41;218.2;105
2014;Junio  28 del 2014;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);MeleNaNez;NaN;6.92;222.82;334;106
2013;NaN;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Canaveralejo;1.55;6.82;167.68;466;115.8
2014;Junio 24 del 2014;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Canaveralejo;NaN;6.42;243.09;559;138.33
2017;Septiembre 06 de 2017;Entrada al perimetro urbano (Colegio Ideas);Canaveralejo;51.58;7.71;35.37;199.2;149
2018;Septiembre 26 de 2018;Intermedio (Puente Verde);Canaveralejo;0;6.83;227.65;522;157
2018;Junio 21 de 2018;Intermedio (Puente Verde);Canaveralejo;0;6.86;154.52;506;158
2017;Abril 25 de 2017;Intermedio  (Plaza de Toros);Canaveralejo;45.08;7.79;12.9;219;184
2017;Diciembre 21 de 2017;Salida (Despues del puente via panamericana)**;Lili;70.68;7.02;12;190.7;185
2017;Septiembre 06 de 2017;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Canaveralejo;10.77;6.73;93.2;397;185
2018;Septiembre 26 de 2018;Salida (Cl 23 Antes descargar Canal Sur);Canaveralejo;1.74;6.75;293.35;570;185
2018;Junio 21 de 2018;Salida (Cl 23 Antes descargar Canal Sur);Canaveralejo;1.76;6.6;226.31;451;188
2012;NaN;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Cali;55.38;6.73;425;406;193
2017;Abril 25 de 2017;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Canaveralejo;10;6.65;112.8;465;205
2015;Septiembre 9 de 2015;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Canaveralejo;39.94;6.35;73.03;404;298
